Wind speed (knots) 	Wave (m) 	Wave period (s) 	Temperature (Â°C)
30.09.2020 	7 	5 	5 	7 	7 	8 	8 	7 	1.3 	1.3 	1.3 	1.6 	1.7 	1.9 	2 	1.7 	9 	9 	9 	9 	13 	13 	12 	12 	24 	23 	23 	25 	26 	26 	25 	24
01.10.2020 	7 	4 	5 	10 	13 	8 	11 	4 	1.7 	2 	2 	2 	1.9 	1.8 	1.8 	1.6 	11 	13 	13 	13 	13 	12 	12 	11 	24 	24 	24 	26 	27 	27 	27 	26
02.10.2020 	7 	5 	3 	4 	8 	9 	10 	9 	1.7 	2.2 	2.3 	2.3 	2.2 	2.2 	2.1 	1.8 	14 	14 	13 	13 	13 	13 	13 	12 	26 	26 	25 	27 	27 	26 	26 	26
03.10.2020 	10 	9 	12 	14 	17 	20 	17 	15 	1.8 	1.9 	1.9 	1.6 	1.7 	1.7 	1.6 	1.7 	12 	12 	12 	12 	12 	11 	11 	11 	25 	24 	24 	27 	28 	27 	26 	25
04.10.2020 	14 	15 	14 	16 	17 	19 	18 	14 	1.7 	1.7 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	11 	12 	12 	12 	12 	12 	12 	11 	24 	24 	23 	26 	27 	26 	25 	24
05.10.2020 	13 	12 	11 	13 	17 	18 	16 	12 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.6 	13 	16 	16 	15 	15 	15 	15 	15 	24 	24 	24 	25 	26 	26 	25 	25
06.10.2020 	11 	9 	9 	12 	16 	17 	15 	13 	1.5 	1.6 	1.6 	1.6 	1.6 	1.5 	1.5 	1.5 	15 	14 	14 	14 	14 	14 	14 	13 	24 	24 	24 	26 	28 	27 	26 	25
07.10.2020 	13 	9 	10 	14 	18 	17 	15 	14 	1.5 	1.4 	1.4 	1.5 	1.6 	1.7 	1.7 	1.7 	13 	13 	14 	13 	13 	13 	13 	12 	24 	24 	24 	26 	27 	27 	25 	25
08.10.2020 	14 	13 	10 	13 	17 	17 	15 	14 	1.7 	1.7 	1.6 	1.4 	1.5 	1.6 	1.6 	1.6 	12 	12 	12 	12 	11 	11 	11 	11 	24 	24 	23 	26 	27 	27 	26 	24
09.10.2020 	12 	10 	8 	9 	18 	19 	17 	17 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 	1.7 	1.7 	11 	11 	10 	10 	10 	10 	10 	10 	24 	23 	23 	26 	27 	28 	26 	25
10.10.2020 	15 	16 	15 	17 	17 	17 	18 	12 	1.7 	1.7 	1.7 	1.5 	1.5 	1.6 	1.6 	1.4 	10 	9 	9 	9 	9 	9 	9 	10 	24 	24 	24 	25 	27 	27 	26 	25
11.10.2020 	13 	11 	11 	12 	15 	13 	12 	8 	1.3 	1.4 	1.3 	1.3 	1.3 	1.2 	1.2 	1.4 	10 	9 	9 	8 	9 	9 	13 	14 	24 	24 	24 	25 	27 	26 	25 	25
12.10.2020 	9 	7 	11 	16 	19 	18 	16 	16 	1.4 	1.3 	1.3 	1.6 	1.8 	1.8 	1.8 	1.5 	13 	13 	13 	12 	12 	12 	12 	12 	25 	25 	24 	26 	27 	27 	26 	25
13.10.2020 	16 	15 	16 	18 	17 	19 	14 	12 	1.5 	1.7 	1.8 	1.7 	1.8 	1.8 	1.8 	1.7 	12 	11 	11 	12 	11 	11 	11 	11 	25 	24 	24 	26 	27 	26 	26 	25
14.10.2020 	8 	5 	3 	3 	9 	9 	6 	5 	1.7 	1.6 	1.5 	1.3 	1.3 	1.4 	1.3 	1.3 	11 	10 	10 	10 	10 	10 	10 	10 	24 	24 	24 	26 	27 	26 	25 	25
15.10.2020 	4 	2 	4 	4 	11 	10 	10 	8 	1.3 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	10 	10 	10 	10 	10 	10 	10 	10 	24 	24 	24 	26 	28 	26 	25 	25
16.10.2020 	7 	6 	6 	5 	10 	11 	8 	4 	1.2 	1.2 	1.4 	1.5 	1.6 	1.6 	1.6 	1.6 	10 	11 	11 	11 	11 	10 	10 	10 	25 	24 	24 	26 	27 	27 	26 	25
17.10.2020 	6 	5 	9 	8 	14 	10 	5 	6 	1.6 	1.4 	1.5 	1.5 	1.6 	1.8 	1.8 	1.8 	10 	11 	11 	11 	11 	11 	11 	11 	25 	24 	24 	26 	27 	27 	26 	25
18.10.2020 	4 	8 	10 	10 	15 	12 	11 	11 	1.8 	1.8 	1.8 	1.5 	1.5 	1.5 	1.5 	1.7 	11 	11 	11 	11 	11 	11 	11 	10 	25 	24 	24 	26 	27 	26 	25 	25
19.10.2020 	11 	12 	12 	12 	15 	13 	13 	10 	1.6 	1.6 	1.6 	1.6 	1.6 	1.4 	1.4 	1.5 	10 	10 	10 	10 	10 	10 	10 	10 	25 	24 	24 	26 	27 	26 	25 	25
20.10.2020 	10 	8 	9 	8 	13 	13 	10 	8 	1.5 	1.5 	1.5 	1.5 	1.5 	1.3 	1.2 	1.2 	10 	10 	10 	10 	11 	11 	11 	11 	25 	24 	24 	26 	27 	27 	26 	25
21.10.2020 	8 	6 	7 	7 	12 	11 	10 	7 	1.2 	1.1 	1.1 	1.3 	1.3 	1.2 	1.2 	1.2 	10 	10 	10 	10 	10 	10 	10 	10 	24 	24 	24 	26 	27 	26 	25 	25
22.10.2020 	4 	5 	4 	3 	10 	10 	11 	8 	1.2 	1.2 	1.2 	1.2 	1.2 	1 	1 	1.2 	10 	10 	9 	9 	9 	10 	10 	9 	24 	24 	23 	26 	27 	26 	25 	25
23.10.2020 	6 	3 	2 	2 	10 	9 	9 	7 	1.2 	1.2 	1.1 	1.1 	1.1 	0.9 	0.9 	0.9 	9 	9 	9 	9 	9 	9 	8 	9 	24 	24 	24 	26 	27 	27 	26 	25
24.10.2020 	5 	2 	2 	4 	12 	15 	16 	12 	1 	1.2 	1.2 	1.1 	1.3 	1.3 	1.4 	1.6 	9 	8 	8 	8 	8 	8 	8 	15 	25 	24 	24 	26 	26 	27 	25 	25
25.10.2020 	8 	10 	12 	13 	17 	18 	15 	14 	1.7 	1.9 	1.9 	1.7 	1.8 	1.9 	2 	1.8 	18 	17 	16 	14 	14 	14 	14 	13 	25 	24 	25 	26 	27 	27 	26 	26
26.10.2020 	11 	9 	11 	11 	17 	13 	13 	12 	1.8 	2.1 	2.1 	1.8 	1.8 	2.1 	2.1 	1.7 	14 	13 	13 	12 	13 	13 	12 	13 	25 	25 	24 	26 	26 	26 	25 	25
27.10.2020 	7 	5 	4 	5 	7 	4 	6 	5 	1.7 	1.7 	1.6 	1.8 	1.7 	1.7 	1.6 	1.6 	12 	12 	12 	12 	11 	11 	11 	11 	25 	25 	25 	26 	26 	26 	25 	25
28.10.2020 	6 	0 	3 	6 	7 	10 	10 	8 	1.5 	1.3 	1.2 	1.2 	1.2 	1.2 	1.1 	1.3 	11 	11 	11 	11 	11 	11 	11 	10 	25 	24 	24 	26 	27 	27 	25 	25
29.10.2020 	7 	6 	6 	7 	5 	5 	3 	6 	1.2 	1 	1.1 	1.2 	1.2 	1.3 	1.3 	1.4 	10 	10 	10 	10 	10 	9 	9 	10 	25 	24 	24 	25 	26 	26 	25 	25
30.10.2020 	6 	9 	10 	11 	14 	11 	10 	11 	1.5 	1.6 	1.7 	1.8 	1.8 	1.8 	1.8 	1.6 	11 	11 	11 	10 	10 	11 	10 	11 	25 	24 	24 	26 	27 	27 	25 	24
31.10.2020 	12 	10 	8 	6 	8 	4 	4 	2 	1.5 	1.6 	1.6 	1.6 	1.5 	1.3 	1.3 	1.3 	11 	10 	10 	10 	10 	10 	10 	10 	24 	24 	24 	25 	26 	25 	25 	24
01.11.2020 	3 	2 	2 	4 	7 	6 	5 	5 	1.3 	1.4 	1.4 	1.6 	1.6 	1.6 	1.6 	1.6 	17 	16 	16 	16 	15 	14 	14 	14 	24 	23 	23 	25 	25 	25 	24 	24
02.11.2020 	8 	9 	9 	13 	14 	15 	15 	13 	1.7 	1.7 	1.8 	1.8 	1.9 	1.9 	1.9 	2 	13 	13 	13 	13 	13 	13 	13 	13 	24 	24 	23 	24 	26 	26 	25 	25
03.11.2020 	11 	12 	11 	16 	16 	14 	14 	15 	2 	2 	2 	1.7 	1.7 	1.9 	1.9 	1.9 	13 	13 	13 	13 	13 	13 	13 	12 	25 	24 	24 	26 	28 	26 	25 	25
04.11.2020 	14 	15 	13 	11 	15 	14 	12 	10 	1.9 	1.7 	1.7 	1.8 	1.8 	1.7 	1.7 	1.7 	12 	12 	12 	12 	11 	11 	11 	16 	25 	24 	25 	26 	27 	26 	25 	25
05.11.2020 	10 	12 	15 	14 	16 	21 	16 	18 	1.6 	1.7 	1.8 	1.9 	2 	2 	2.1 	1.8 	15 	15 	15 	14 	14 	13 	13 	13 	25 	24 	24 	26 	28 	26 	26 	25
06.11.2020 	17 	15 	15 	16 	16 	15 	13 	12 	1.8 	2.1 	2.1 	2.1 	2.1 	2.2 	2.2 	1.9 	13 	13 	13 	13 	13 	12 	12 	12 	25 	24 	24 	25 	27 	26 	25 	25
07.11.2020 	15 	16 	16 	16 	18 	15 	15 	16 	1.8 	1.9 	2 	2 	2 	2.2 	2.2 	2.1 	12 	11 	10 	8 	8 	8 	8 	8 	25 	24 	24 	25 	26 	26 	24 	24
08.11.2020 	16 	16 	17 	18 	21 	19 	17 	19 	2.1 	2.1 	2.1 	2.1 	2.1 	2.2 	2.1 	1.9 	9 	9 	9 	9 	9 	9 	9 	9 	24 	24 	23 	24 	26 	26 	24 	24
09.11.2020 	18 	16 	16 	19 	20 	17 	18 	17 	2 	2.2 	2.1 	2.2 	2.5 	2.6 	2.4 	2.2 	9 	9 	9 	9 	9 	9 	9 	9 	24 	24 	24 	26 	26 	26 	24 	24
10.11.2020 	15 	17 	18 	18 	19 	24 	21 	21 	2.1 	2.1 	2.1 	2.2 	2.3 	2.3 	2.3 	2.3 	9 	9 	9 	9 	9 	9 	9 	9 	24 	24 	24 	24 	26 	25 	24 	24
11.11.2020 	19 	17 	20 	22 	21 	21 	17 	22 	2.4 	2.5 	2.4 	2.4 	2.5 	2.6 	2.4 	2.6 	9 	9 	9 	9 	9 	9 	9 	9 	24 	23 	23 	24 	25 	25 	24 	24
12.11.2020 	20 	21 	18 	20 	19 	23 	19 	19 	2.6 	2.6 	2.5 	2.4 	2.4 	2.4 	2.3 	2.3 	9 	9 	9 	9 	9 	9 	9 	9 	23 	23 	23 	24 	24 	24 	23 	23
13.11.2020 	19 	17 	16 	17 	22 	20 	18 	18 	2.4 	2.3 	2.2 	2.2 	2.2 	2.3 	2.4 	2.3 	8 	8 	8 	8 	8 	9 	18 	10 	23 	23 	23 	24 	25 	24 	23 	23
14.11.2020 	17 	15 	15 	17 	16 	15 	13 	14 	2.3 	2.2 	2.2 	1.9 	2 	2.1 	2.1 	2 	17 	16 	16 	14 	14 	14 	14 	14 	23 	23 	23 	24 	26 	24 	24 	24
15.11.2020 	12 	8 	9 	8 	12 	12 	10 	10 	1.9 	1.8 	1.8 	1.7 	1.6 	1.6 	1.5 	1.4 	13 	11 	13 	13 	10 	12 	12 	12 	24 	23 	23 	25 	25 	25 	24 	23
16.11.2020 	9 	7 	7 	9 	15 	13 	14 	12 	1.4 	1.4 	1.3 	1.3 	1.3 	1.2 	1.2 	1.3 	12 	9 	10 	11 	11 	9 	9 	8 	23 	23 	23 	25 	25 	25 	24 	23
17.11.2020 	12 	13 	13 	14 	16 	18 	14 	15 	1.3 	1.4 	1.4 	1.2 	1.4 	1.7 	1.8 	1.8 	8 	8 	8 	10 	10 	9 	9 	9 	23 	23 	24 	25 	26 	26 	24 	24
18.11.2020 	15 	13 	11 	19 	16 	17 	16 	16 	1.8 	1.8 	1.9 	2 	2 	1.8 	1.7 	1.7 	9 	9 	9 	8 	7 	8 	9 	9 	24 	24 	23 	24 	24 	25 	24 	23
19.11.2020 	15 	15 	14 	15 	18 	18 	15 	17 	1.6 	1.6 	1.6 	1.8 	1.8 	1.8 	1.9 	1.7 	9 	15 	16 	17 	16 	16 	15 	13 	23 	23 	23 	24 	25 	24 	23 	23
20.11.2020 	15 	17 	19 	20 	20 	22 	18 	20 	1.7 	1.8 	1.9 	2.3 	2.2 	1.9 	1.9 	2 	13 	13 	13 	13 	13 	12 	12 	12 	23 	24 	24 	24 	25 	25 	24 	24
21.11.2020 	21 	21 	23 	23 	22 	23 	22 	24 	2.1 	2 	2.2 	2.5 	2.5 	2.4 	2.5 	2.4 	7 	7 	7 	7 	7 	8 	8 	8 	24 	24 	24 	24 	24 	25 	24 	24
22.11.2020 	25 	25 	23 	24 	24 	25 	25 	24 	2.6 	3.1 	3.1 	2.8 	2.8 	3.1 	3.1 	3.2 	8 	8 	8 	9 	9 	9 	9 	9 	24 	23 	23 	24 	24 	24 	24 	24
23.11.2020 	23 	19 	20 	21 	20 	21 	21 	20 	3.2 	3.1 	2.9 	2.6 	2.5 	2.5 	2.5 	2.7 	9 	9 	9 	9 	9 	9 	9 	9 	24 	23 	23 	24 	25 	24 	24 	24
24.11.2020 	19 	19 	19 	19 	19 	21 	19 	18 	2.7 	2.8 	2.8 	2.6 	2.5 	2.4 	2.3 	2.3 	9 	9 	9 	9 	9 	9 	9 	9 	24 	23 	23 	24 	25 	24 	23 	24
25.11.2020 	17 	14 	14 	16 	17 	17 	17 	17 	2.3 	2.1 	2 	2 	2.1 	2.1 	2.2 	1.9 	9 	9 	9 	9 	9 	9 	9 	9 	24 	23 	23 	25 	26 	25 	23 	24
26.11.2020 	16 	15 	17 	18 	19 	19 	15 	14 	1.9 	2 	2 	2 	2 	2 	1.9 	1.9 	9 	9 	9 	9 	11 	12 	12 	11 	23 	23 	23 	24 	25 	24 	23 	22
27.11.2020 	14 	13 	14 	15 	14 	15 	11 	12 	1.9 	1.9 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	11 	11 	9 	9 	8 	8 	8 	8 	22 	22 	22 	23 	24 	23 	22 	23
28.11.2020 	11 	11 	8 	10 	12 	13 	10 	10 	1.8 	1.6 	1.6 	1.8 	1.9 	1.8 	1.8 	2.1 	14 	13 	13 	14 	13 	13 	10 	9 	22 	22 	22 	23 	24 	23 	22 	22
29.11.2020 	9 	9 	9 	10 	13 	13 	10 	11 	2.1 	2 	2 	2 	2 	2 	1.9 	2 	10 	10 	11 	12 	12 	12 	12 	10 	22 	22 	22 	23 	24 	23 	22 	22
30.11.2020 	13 	11 	9 	9 	11 	8 	5 	4 	2 	2 	2 	1.9 	1.9 	1.8 	1.8 	1.6 	9 	15 	15 	14 	14 	13 	13 	12 	22 	21 	21 	23 	24 	24 	22 	22
01.12.2020 	4 	4 	3 	5 	8 	8 	8 	9 	1.6 	1.7 	1.7 	1.7 	1.8 	2 	2.5 	2.9 	14 	15 	14 	14 	25 	24 	22 	21 	21 	21 	21 	23 	24 	24 	22 	22
02.12.2020 	11 	10 	10 	10 	14 	15 	12 	10 	3.5 	3.3 	3.6 	4.3 	4.2 	4 	3.7 	3.5 	20 	19 	19 	18 	18 	17 	17 	16 	22 	21 	21 	24 	25 	24 	23 	23
03.12.2020 	10 	9 	10 	11 	13 	13 	11 	10 	3.3 	3.1 	2.9 	2.7 	2.6 	2.5 	2.4 	2.3 	16 	15 	15 	15 	14 	14 	14 	14 	23 	23 	23 	24 	26 	25 	24 	23
04.12.2020 	11 	11 	14 	18 	23 	22 	20 	20 	2.2 	2.1 	2 	2.1 	2.2 	2.1 	2.1 	2.3 	13 	13 	13 	13 	12 	11 	11 	12 	23 	23 	23 	24 	25 	25 	24 	24
05.12.2020 	18 	15 	15 	16 	18 	19 	14 	10 	2.3 	2.3 	2.3 	2.4 	2.5 	2.7 	2.6 	2.2 	12 	12 	12 	12 	13 	13 	13 	12 	23 	23 	23 	25 	27 	26 	24 	23
06.12.2020 	10 	8 	6 	6 	13 	15 	15 	12 	2.1 	2.4 	2.3 	2 	2.1 	2.3 	2.7 	2.8 	12 	13 	13 	12 	20 	20 	18 	17 	23 	23 	22 	25 	26 	26 	24 	24
07.12.2020 	10 	10 	9 	13 	17 	17 	18 	16 	2.8 	3.3 	3.2 	3.1 	3 	3 	2.9 	2.5 	17 	17 	16 	15 	15 	15 	14 	15 	23 	23 	23 	25 	26 	25 	24 	24
08.12.2020 	14 	12 	15 	16 	20 	21 	16 	15 	2.4 	2.6 	2.5 	2.5 	2.7 	2.8 	2.8 	2.7 	13 	14 	13 	13 	13 	13 	14 	14 	23 	23 	23 	24 	26 	26 	24 	23
09.12.2020 	14 	11 	11 	10 	11 	13 	14 	12 	2.6 	2.5 	2.4 	2.3 	2.2 	2.1 	2 	1.9 	14 	13 	13 	13 	13 	13 	12 	12 	23 	23 	22 	25 	26 	25 	24 	23
10.12.2020 	7 	6 	8 	13 	15 	14 	13 	11 	1.9 	1.8 	1.8 	1.7 	1.8 	1.6 	1.7 	1.8 	12 	12 	12 	12 	11 	10 	9 	9 	22 	22 	22 	24 	26 	25 	24 	23
11.12.2020 	11 	11 	11 	11 	15 	17 	14 	16 	1.7 	1.6 	1.6 	1.5 	1.5 	1.5 	1.5 	1.5 	9 	10 	10 	10 	9 	10 	9 	9 	23 	22 	22 	24 	26 	25 	23 	23
12.12.2020 	16 	13 	18 	19 	19 	21 	19 	17 	1.5 	1.6 	1.6 	1.6 	1.7 	1.9 	2 	2.2 	9 	9 	9 	9 	9 	9 	10 	11 	22 	22 	23 	23 	25 	25 	23 	23
13.12.2020 	15 	11 	10 	4 	11 	12 	9 	10 	2.3 	2.2 	2.2 	1.8 	1.8 	1.8 	1.8 	2.1 	11 	11 	10 	10 	15 	14 	14 	15 	23 	23 	23 	24 	26 	24 	24 	23
14.12.2020 	13 	14 	15 	16 	17 	19 	15 	14 	2.1 	2.1 	2.1 	2.1 	2.1 	2.2 	2.2 	2.1 	14 	14 	14 	14 	14 	14 	14 	14 	23 	23 	23 	24 	26 	25 	24 	23
15.12.2020 	14 	13 	15 	15 	16 	16 	14 	15 	2.1 	1.9 	1.9 	2.2 	2.2 	2.2 	2.2 	2.2 	14 	13 	13 	13 	13 	13 	12 	12 	23 	23 	23 	25 	26 	25 	24 	23
16.12.2020 	16 	16 	17 	16 	16 	15 	13 	12 	2.2 	2.2 	2.2 	2.1 	2 	2 	1.9 	1.9 	12 	12 	12 	12 	11 	11 	10 	18 	23 	23 	23 	24 	25 	25 	23 	23
17.12.2020 	13 	10 	12 	12 	23 	18 	18 	18 	2 	1.9 	1.9 	1.9 	2.1 	2.1 	2.3 	2.5 	18 	16 	15 	15 	14 	14 	13 	15 	22 	22 	22 	24 	26 	24 	22 	21
18.12.2020 	19 	18 	20 	22 	22 	22 	21 	20 	2.6 	2.6 	2.7 	2.7 	2.8 	2.9 	2.8 	2.7 	14 	14 	14 	15 	10 	10 	10 	10 	22 	21 	21 	23 	24 	23 	21 	21
19.12.2020 	20 	19 	20 	19 	20 	23 	17 	14 	2.7 	2.7 	2.6 	2.5 	2.5 	2.7 	2.6 	2.2 	10 	9 	9 	9 	9 	9 	9 	9 	22 	22 	22 	23 	25 	25 	23 	22
20.12.2020 	14 	15 	14 	16 	20 	20 	17 	14 	2.1 	2.3 	2.3 	2 	2.1 	2.3 	2.3 	2.4 	9 	10 	15 	14 	13 	14 	14 	14 	22 	22 	22 	23 	24 	26 	23 	22
21.12.2020 	15 	14 	13 	16 	16 	18 	13 	13 	2.3 	2.3 	2.3 	2 	2 	1.9 	1.9 	2.1 	14 	13 	13 	13 	13 	12 	12 	13 	22 	21 	21 	22 	24 	24 	22 	22
22.12.2020 	11 	6 	7 	6 	13 	13 	12 	7 	2 	1.7 	1.6 	1.6 	1.5 	1.7 	1.7 	1.6 	13 	13 	13 	13 	13 	13 	12 	12 	21 	20 	20 	24 	26 	26 	24 	21
23.12.2020 	4 	6 	1 	4 	10 	11 	8 	6 	1.7 	1.7 	1.7 	1.8 	1.9 	2.1 	2.3 	2.5 	11 	10 	16 	19 	18 	18 	17 	17 	21 	20 	20 	23 	26 	24 	23 	21
24.12.2020 	5 	6 	7 	8 	14 	14 	12 	10 	2.6 	2.7 	2.7 	2.7 	2.6 	2.5 	2.4 	2 	16 	16 	16 	15 	15 	15 	15 	15 	21 	20 	20 	23 	26 	24 	22 	21
25.12.2020 	10 	9 	10 	9 	14 	17 	16 	13 	2 	2.4 	2.5 	2.1 	2.1 	2.4 	2.3 	2.2 	15 	15 	15 	14 	14 	14 	14 	14 	21 	20 	20 	23 	25 	25 	22 	21
26.12.2020 	13 	12 	11 	13 	20 	29 	28 	20 	2.2 	2.2 	2.2 	2.2 	2.4 	2.6 	3.1 	2.9 	13 	13 	13 	13 	13 	10 	9 	9 	21 	20 	20 	23 	25 	23 	20 	22
27.12.2020 	17 	17 	17 	18 	17 	15 	12 	12 	2.7 	2.6 	2.5 	2.7 	2.8 	2.8 	2.7 	2.5 	9 	9 	9 	9 	9 	9 	9 	9 	22 	21 	21 	23 	26 	26 	23 	22
28.12.2020 	11 	9 	10 	4 	13 	12 	8 	10 	2.5 	2.4 	2.4 	2.4 	2.3 	2.3 	2.3 	2.4 	9 	9 	9 	9 	9 	9 	11 	22 	22 	21 	21 	24 	26 	27 	24 	22
29.12.2020 	8 	9 	10 	9 	14 	14 	15 	13 	2.6 	2.8 	2.9 	3 	3 	2.8 	3 	3.5 	21 	20 	19 	18 	17 	15 	15 	16 	22 	21 	21 	24 	28 	27 	23 	22
30.12.2020 	11 	10 	12 	11 	15 	24 	20 	14 	3.5 	3.4 	3.4 	2.8 	2.8 	3.2 	3.1 	3.1 	16 	16 	16 	15 	15 	16 	16 	16 	21 	20 	20 	23 	25 	24 	22 	21
31.12.2020 	15 	15 	16 	19 	19 	20 	19 	18 	3 	3 	3 	3 	3.2 	3 	3.2 	3.2 	15 	15 	15 	15 	18 	17 	17 	16 	21 	21 	21 	22 	23 	23 	21 	21 
